"player","monster","level","variant","出場回数","A(アクティブ)","P(コンパニオン)","match01","match02","match03","match04","match05","match06","match07","match08","match09","match10","match11"
"pmg","一郎","47","原種","11","くすぐり / まさぐり / ガッシマ / チャージ / ペトロガス","アウタークッキー / セントリー / レジストシック / 予習復習 / 守りのミンネ / 戦いのエール","A-D","B-D","C-D","D-E","D-F","D-G","D-H","D-I","D-J","D-K","D-L"
"pmg","二郎","44","原種","11","ガッシマ / スタンピード / チャージ / バインドグラスプ / ペトロガス","アウタークッキー / リフレクション / レジストシック / 予習復習 / 守りのミンネ / 戦いのエール / 敏捷ブースト","A-D","B-D","C-D","D-E","D-F","D-G","D-H","D-I","D-J","D-K","D-L"
"pmg","三郎","39","原種","11","テラーコール / ルビーライト / 光のベール","アウタークッキー / セントリー / フレイムアシスト / ミラージュ / レジストシック / 予習復習 / 魔力ブースト","A-D","B-D","C-D","D-E","D-F","D-G","D-H","D-I","D-J","D-K","D-L"
"pmg","花子","34","原種","11","ウィンドボルト / サクション / テンプテイション / デルバイス / ミラーズ","アウタークッキー / ミラージュ / リフレクション / レジストスリープ / 心の棘 / 敏捷ブースト","A-D","B-D","C-D","D-E","D-F","D-G","D-H","D-I","D-J","D-K","D-L"
"センカ","シシリー","22","原種","7","アイスランス / ヒーリング / 光のベール / 桜花泡影","フレイムアシスト / 戦いのエール / 攻撃ブースト / 敏捷ブースト / 魔力ブースト","A-I","B-I","E-I","G-I","H-I","I-J","I-K","","","",""
"センカ","エオヒド","38","亜種2","11","ウィンドボルト / エルフショット / パリィ / パンデミック / ファイアランス","エンジェリックウィング / フレイムアシスト / 敏捷ブースト / 魔力ブースト","A-I","B-I","C-I","D-I","E-I","F-I","G-I","H-I","I-J","I-K","I-L"
"センカ","ミランダ","23","原種","7","ウィンドボルト / セメタリーゲート / テンペスト / ヒーリング / ファイアボルト","レジストチャーム / 予習復習 / 戦いのエール / 攻撃ブースト / 敏捷ブースト / 魔力ブースト","A-I","B-I","C-I","E-I","G-I","H-I","I-J","","","",""
"センカ","アエス","42","原種","11","アイスランス / セメタリーゲート / ダイヤモンドダスト / フラッド / ペイルムーン","エンジェリックウィング / コールドアシスト / フレイムバリア / 心の棘 / 敏捷ブースト / 防御ブースト / 魔力ブースト","A-I","B-I","C-I","D-I","E-I","F-I","G-I","H-I","I-J","I-K","I-L"
"センカ","リャオタン","30","原種","3","くすぐり / スタンピード / チャージ / テラーコール / フェイズアウト","守りのミンネ / 戦いのエール / 攻撃ブースト","C-I","D-I","I-L","","","","","","","",""
"センカ","ゴフン","28","原種","3","のしかかり / ガッシマ / スタンピード / ニグラーヌ","守りのミンネ / 防御ブースト","D-I","I-K","I-L","","","","","","","",""
"センカ","シムルグ","32","原種","1","シードハウザー / スウィング / テラーコール / ハードブロウ / バードサンクチュアリ","守りのミンネ / 戦いのエール","F-I","","","","","","","","","",""
"センカ","ワイバーン","29","亜種1","1","チャージ / ベノムスティング / ラーヴァフロウ / 光の刻印","戦いのエール / 攻撃ブースト","F-I","","","","","","","","","",""
"ショーンマイケル","ペリュトン","62","亜種1","3","シャドウスティール / ファイアボール / ルビーライト / 滅びの翼 / 超低周波","ビーストクッキー / フレイムバリア / リジェネレイト / 敏捷ブースト","A-K","J-K","K-L","","","","","","","",""
"ショーンマイケル","デュラハン","58","亜種1","1","アイギスシールド / アーマーメルト / パリィ / ランドスライド / 超低周波","フェアリークッキー","A-K","","","","","","","","","",""
"ショーンマイケル","エルフ","50","原種","1","アイスボール / エルフショット / グリムシャドウ / ヒーリング","フェアリークッキー","A-K","","","","","","","","","",""
"ショーンマイケル","ムーンビースト","27","原種","1","アムネジア / ウォッチアウト / スパーク / テラーコール","アウタークッキー","A-K","","","","","","","","","",""
"ショーンマイケル","ブラスドラゴン","70","原種","10","アイスボール / ダブルアタック / ダークボルト / ドラゴンスケイル / ハードブロウ / ファイアブレス / フレア / ベノムスクラッチ","セントリー / ハートオブフレイム / リジェネレイト / 戦いのエール / 攻撃ブースト","B-K","C-K","D-K","E-K","F-K","G-K","H-K","I-K","J-K","K-L",""
"ショーンマイケル","ジャバウォック","70","亜種2","5","ダブルアタック / ハードブロウ / ファイアボール / ファストブレード / ベノムスクラッチ","戦いのエール / 防御ブースト","B-K","C-K","E-K","G-K","I-K","","","","","",""
"ショーンマイケル","スキュラ","70","亜種2","4","アイスランス / イーヴルフルート / ファイアボール / ブラッドスティール / リヴァイヴ / 氷葬","コールドバリア / 戦いのエール / 攻撃ブースト / 魔力ブースト","B-K","C-K","I-K","K-L","","","","","","",""
"ショーンマイケル","アルビノペンギン","70","亜種1","7","ウィンドボルト / グリムシャドウ / ダルネス / テラーコール / トライペック","アウタークッキー / コールドバリア / レジストシール / 戦いのエール / 攻撃ブースト / 魔力ブースト","B-K","D-K","F-K","H-K","I-K","J-K","K-L","","","",""
"ショーンマイケル","サキュバス","70","原種","3","アイスボール / サクション / テンプテイション / ビシージ / ワインクラウド","コールドバリア / レジストポイズン / 魔力ブースト","C-K","E-K","G-K","","","","","","","",""
"ショーンマイケル","シャンタク鳥","70","亜種2","3","のしかかり / スウィング / 超低周波 / 踏みつけ","リジェネレイト / 戦いのエール / 攻撃ブースト","D-K","F-K","H-K","","","","","","","",""
"ショーンマイケル","ナハツェーラー","70","原種","6","アースクェイク / グリムシャドウ / ヒーリング / ブラッドセイバー / 狐火","レジストシール / レジストポイズン / 敏捷ブースト / 魔力ブースト","D-K","E-K","F-K","G-K","H-K","J-K","","","","",""
"ポリープ","グレムリン","37","亜種1","6","ダブルアタック / ダークボルト / ハイドアウト / 光の楔 / 風葬","クィックオーダー / ミラージュ / 命中ブースト / 心の棘 / 戦いのエール / 魔力ブースト","A-B","B-C","B-G","B-H","B-J","B-L","","","","",""
"ポリープ","ドール","39","原種","9","アースクェイク / カロウシブスピット / ダブルアタック","ディレイオーダー / 守りのミンネ / 戦いのエール","A-B","B-C","B-F","B-G","B-H","B-I","B-J","B-K","B-L","",""
"ポリープ","セイレンアウェイク","32","亜種2","5","アウェイクニング / エルフショット / ダブルアタック / 悪魔のトリル / 魔性の囁き","ミラージュ / 心の棘 / 魔力ブースト","A-B","B-E","B-F","B-G","B-H","","","","","",""
"ポリープ","ビヤーキーヒヤデス","29","原種","8","スカラド / ヒヤデスウィンド","アウタークッキー / クィックオーダー / コールドバリア / ミラージュ / 命中ブースト / 心の棘 / 魔力ブースト","A-B","B-C","B-D","B-G","B-H","B-I","B-K","B-L","","",""
"ポリープ","アルルーナ","37","原種","5","エンジェルダスト / トランキリティ / ブラッドスティール / ラストシュリーク / ルビーライト","エンジェリックウィング / コールドアシスト / コールドバリア / ディレイオーダー / レジストチャーム / レジストポイズン / 守りのミンネ","B-C","B-D","B-E","B-I","B-K","","","","","",""
"ポリープ","ワイバーン","31","亜種2","1","スパイクテイル / ベノムスクラッチ / ベノムスティング","ミラージュ","B-D","","","","","","","","","",""
"ポリープ","サキュバス","18","原種","1","エルフショット / サクション / テンプテイション / ブラッドスティール","セントリー / ハートオブオーシャン","B-D","","","","","","","","","",""
"ポリープ","クン・アヌン","43","亜種1","2","クルセイド / バーニングレイジ / ファイアランス","フレイムアシスト / 魔力ブースト","B-E","B-F","","","","","","","","",""
"ポリープ","ハイドラ","39","原種","3","チャージ / ラーヴァフロウ / 誘い受け","エンジェリックウィング / コールドアシスト / セントリー / ハートオブオーシャン / 戦いのエール","B-E","B-J","B-K","","","","","","","",""
"ポリープ","ワンプクリアランス","28","亜種1","2","セメタリーゲート","エンジェリックウィング / コールドアシスト / 心の棘 / 魔力ブースト","B-F","B-J","","","","","","","","",""
"ポリープ","スターヴァンパイア","41","原種","2","テラーコール / フェアリーキラー / フラッシュファイア","クィックオーダー / コールドバリア / 命中ブースト","B-I","B-L","","","","","","","","",""
"Ｄｒ．ウェスト","ダークヤング","29","原種","11","ガッシマ / スタンピード / チャージ / テラーコール / ハードブロウ / ペトロガス","エンジェリックウィング / ハートオブオーシャン","A-C","B-C","C-D","C-E","C-F","C-G","C-H","C-I","C-J","C-K","C-L"
"Ｄｒ．ウェスト","ドール","32","原種","11","アースクェイク / カロウシブスピット / スタンピード / チャージ / ペトロガス","守りのミンネ / 戦いのエール","A-C","B-C","C-D","C-E","C-F","C-G","C-H","C-I","C-J","C-K","C-L"
