"player","letter","出場回数","monster","level","variant","image","A(アクティブ)","P(コンパニオン)","match01","match02","match03","match04","match05","match06","match07","match08","match09","match10","match11"
"ゆき","H","10","深雪","65","亜1","https://eldersign.jp/img/mi/g/f0/020_snow_1g7.png","パンデミック / ヒヤデスウィンド / レーヴァテイン / 炎の刻印","フレイムアシスト / 魔力ブースト","A-H","B-H","C-H","D-H","E-H","F-H","H-I","H-J","H-K","H-L",""
"ゆき","H","11","雪乃","58","亜2","https://eldersign.jp/img/mi/g/f0/020_snow_2g4.png","ファイアランス / フサリア / ブラッドムーン / リヴァイヴ / 炎の刻印","フレイムアシスト / ローズイズレッド / 守りのミンネ / 敏捷ブースト","A-H","B-H","C-H","D-H","E-H","F-H","G-H","H-I","H-J","H-K","H-L"
"ゆき","H","6","紗季 (1)","56","原","https://eldersign.jp/img/mi/g/f0/043_succubus_0g4.png","アウェイクニング / エルフショット / ヒヤデスウィンド / フォトケミカルスモッグ / ポイズンクラウド","クィックオーダー / フレイムアシスト / ミラージュ / 魔力ブースト","A-H","G-H","H-I","H-J","H-K","H-L","","","","",""
"ゆき","H","5","紗季 (2)","57","原","https://eldersign.jp/img/mi/g/f0/043_succubus_0g4.png","アウェイクニング / ヒヤデスウィンド / ポイズンクラウド","クィックオーダー","B-H","C-H","D-H","E-H","F-H","","","","","",""
"ゆき","H","11","凪","67","原","https://eldersign.jp/img/mi/g/f0/039_ariel_0g4.png","エルフショット / キャンセレイション / ステイシス / フェアリーエイド / 炎の楔","HPブースト / クィックオーダー / レジストバインド / 心の棘 / 魔力ブースト","A-H","B-H","C-H","D-H","E-H","F-H","G-H","H-I","H-J","H-K","H-L"
"ゆき","H","1","スノウ","17","亜2","https://eldersign.jp/img/mi/g/f0/020_snow_2g4.png","スリートストーム / ファイアボルト / ファイアランス / フサリア / 炎の刻印","ローズイズレッド / 守りのミンネ","G-H","","","","","","","","","",""
"覚者ロイ","K","11","ダークヤング (1)","58","原","https://eldersign.jp/img/mi/g/f0/055_dark-young_0g4.png","インクリーズ / ガッシマ / スパーク / チャージ / トライペック / トランキリティ","戦いのエール","A-K","B-K","C-K","D-K","E-K","F-K","G-K","H-K","I-K","J-K","K-L"
"覚者ロイ","K","10","ダークヤング (2)","54","原","https://eldersign.jp/img/mi/g/f0/055_dark-young_0g4.png","インクリーズ / ガッシマ / トライペック / ニグラーヌ / ブラッドセイバー","戦いのエール","A-K","B-K","C-K","D-K","E-K","F-K","G-K","I-K","J-K","K-L",""
"覚者ロイ","K","11","アトラク＝ナクア","47","原","https://eldersign.jp/img/mi/g/f0/066_atlach-nacha_0g7.png","ヒーリング / ミラーズ / ユロール / ルールオブドリームス / 光の楔","リジェネレイト","A-K","B-K","C-K","D-K","E-K","F-K","G-K","H-K","I-K","J-K","K-L"
"覚者ロイ","K","11","ショゴス","56","亜2","https://eldersign.jp/img/mi/g/f0/034_shoggoth_2g7.png","アンブッシュ / ヒーリング / フォトケミカルスモッグ / プロテクトディザスター / 光のベール","HPブースト / クィックオーダー","A-K","B-K","C-K","D-K","E-K","F-K","G-K","H-K","I-K","J-K","K-L"
"まる","I","11","ダークヤング","48","亜2","https://eldersign.jp/img/mi/p/f0/055_dark-young_2g4.png","ガッシマ / スタンピード / ダブルアタック / チャージ","戦いのエール","A-I","B-I","C-I","D-I","E-I","F-I","G-I","H-I","I-J","I-K","I-L"
"まる","I","11","アークディスプレイサー","57","原","https://eldersign.jp/img/mi/g/f0/057_arch-displacers_0g4.png","ソリッドファントム / ダブルアタック / ハードブロウ / フェイズアウト / ホロウワールド","守りのミンネ / 防御ブースト","A-I","B-I","C-I","D-I","E-I","F-I","G-I","H-I","I-J","I-K","I-L"
"まる","I","11","アトラク＝ナクア","56","原","https://eldersign.jp/img/mi/g/f0/066_atlach-nacha_0g4.png","ゴッサマーチェイン / ダークボルト / ヒーリング / 悪魔のトリル / 滅びの翼","クィックオーダー / 地味づくり","A-I","B-I","C-I","D-I","E-I","F-I","G-I","H-I","I-J","I-K","I-L"
"まる","I","11","セイレン","58","亜2","https://eldersign.jp/img/mi/g/f0/024_seiren_2g4.png","ダークボルト / ブラッドスティール / 悪魔のトリル / 魔性の囁き","HPブースト","A-I","B-I","C-I","D-I","E-I","F-I","G-I","H-I","I-J","I-K","I-L"
"煌龍","E","3","ドール (1)","36","原","https://eldersign.jp/img/mi/g/f0/056_dhole_0g4.png","トライペック / ブラッドセイバー","エンジェリックウィング / 攻撃ブースト","A-E","B-E","E-H","","","","","","","",""
"煌龍","E","4","ドール (2)","62","原","https://eldersign.jp/img/mi/g/f0/056_dhole_0g4.png","アースクェイク / カロウシブスピット / ソニックブーム / ダルバドーハ","クィックオーダー / ハートオブフレイム / リフレクション / レジストシック / レジストスリープ / ローズイズレッド / 防御ブースト","A-E","B-E","E-G","E-H","","","","","","",""
"煌龍","E","3","ダークヤング","34","原","https://eldersign.jp/img/mi/g/f0/055_dark-young_0g4.png","ガッシマ / スキュアー / スタンピード / チャージ","クィックオーダー / ハートオブマーブル / 敏捷ブースト / 防御ブースト","A-E","B-E","E-H","","","","","","","",""
"煌龍","E","3","オールドワン","21","原","https://eldersign.jp/img/mi/g/f0/051_old-one_0g4.png","デルバイス / ユロール","ディレイオーダー / 守りのミンネ","A-E","B-E","E-H","","","","","","","",""
