"player","monster","level","variant","出場回数","A(アクティブ)","P(コンパニオン)","match01","match02","match03","match04","match05","match06","match07","match08","match09","match10","match11"
"けけけけ","ダークヤング","53","原種","7","のしかかり / ガッシマ / スタンピード / ニグラーヌ / ホロウワールド","戦いのエール / 攻撃ブースト","A-E","B-E","D-E","E-F","E-G","E-H","E-I","","","",""
"けけけけ","ドール","48","原種","7","のしかかり / カロウシブスピット / スタンピード","リジェネレイト / 戦いのエール","A-E","B-E","D-E","E-F","E-G","E-H","E-I","","","",""
"けけけけ","アークディスプレイサー","43","亜種2","7","ホロウワールド","レジストスリープ / 心の棘 / 敏捷ブースト","A-E","B-E","D-E","E-F","E-G","E-H","E-I","","","",""
"けけけけ","オールドワン","37","原種","7","ミラーズ / ユロール","クィックオーダー","A-E","B-E","D-E","E-F","E-G","E-H","E-I","","","",""
"けけけけ","フラーユ","41","原種","4","アイスランス / フェアリーエイド / ペイルムーン / 桜花泡影","リフレクション","C-E","E-J","E-K","E-L","","","","","","",""
"けけけけ","アルルーナ","41","原種","4","アイスランス / エンジェルダスト / ラストシュリーク / リヴァイヴ","レジストスリープ / 予習復習","C-E","E-J","E-K","E-L","","","","","","",""
"けけけけ","ペリ","45","亜種2","4","アウェイクニング / セメタリーゲート / ムーランルージュ / レーヴァテイン / 風葬","フレイムアシスト / フレイムバリア","C-E","E-J","E-K","E-L","","","","","","",""
"けけけけ","ルサルカ","47","原種","4","ウィンターブラスト / フォグ / ペイルムーン","心の棘 / 魔力ブースト","C-E","E-J","E-K","E-L","","","","","","",""
"ハイジ","亜種2パズズ","35","亜種2","11","チャージ / デルタスラッシュ / ドラゴニックロア / バインドグラスプ / ベノムスティング","ミラージュ","A-B","B-C","B-D","B-E","B-F","B-G","B-H","B-I","B-J","B-K","B-L"
"ハイジ","通常パズズ","53","原種","11","チャージ / デルタスラッシュ / ドラゴニックロア / ハードブロウ / ベノムスティング","守りのミンネ","A-B","B-C","B-D","B-E","B-F","B-G","B-H","B-I","B-J","B-K","B-L"
"ハイジ","魔力ルサルカ","48","原種","11","アイスランス / ウィンターブラスト / スリートストーム / フラッド / ペイルムーン","魔力ブースト","A-B","B-C","B-D","B-E","B-F","B-G","B-H","B-I","B-J","B-K","B-L"
