"player","monster","level","variant","出場回数","A(アクティブ)","P(コンパニオン)","match01","match02","match03","match04","match05","match06","match07","match08","match09","match10","match11"
"やなぎかぜ","グウィリオン","47","亜種2","7","イーグルアイ / ダブルアタック / チャージ / ファストブレード / ランドスライド","守りのミンネ / 攻撃ブースト","A-I","C-I","E-I","F-I","G-I","H-I","I-L","","","",""
"やなぎかぜ","スキュラ","36","亜種1","7","アイスランス / コールドボルト / バインドグラスプ / ファイアボール / 水流","レジストチャーム / 魔力ブースト","A-I","C-I","E-I","F-I","G-I","H-I","I-L","","","",""
"やなぎかぜ","セイレン","27","亜種1","7","エルフショット / ダークボルト / ブラッドスティール / 悪魔のトリル","心の棘","A-I","C-I","E-I","F-I","G-I","H-I","I-L","","","",""
"やなぎかぜ","モーラ","47","原種","7","コールドボルト / ブラッドスティール / リベレイション / ルビーライト / 狐火","命中ブースト / 攻撃ブースト / 敏捷ブースト / 防寒布 / 防火布","A-I","C-I","E-I","F-I","G-I","H-I","I-L","","","",""
"やなぎかぜ","ワイバーン","34","亜種1","4","スパイクテイル / ダブルアタック / デルタスラッシュ / ベノムスティング / ペトロガス","守りのミンネ / 防寒布 / 防火布","B-I","D-I","I-J","I-K","","","","","","",""
"やなぎかぜ","ドール","27","亜種2","4","アースクェイク / テラーコール / バインドグラスプ / ファストストライク / ベノムスティング","守りのミンネ / 攻撃ブースト","B-I","D-I","I-J","I-K","","","","","","",""
"やなぎかぜ","F.S.M.","25","原種","4","ウィンドボルト / エルフショット / コールドボルト / ハスタリーザ","命中ブースト / 守りのミンネ / 攻撃ブースト","B-I","D-I","I-J","I-K","","","","","","",""
"やなぎかぜ","グレムリン","35","原種","4","ウィンドボルト / エルフショット / ストーン / ダークボルト / 風葬","守りのミンネ / 防寒布 / 防火布","B-I","D-I","I-J","I-K","","","","","","",""
"ゆばゆば極限","スキュラ (1)","48","原種","2","アイスランス / ウィンドボルト / バインドグラスプ / ヒーリング / 水流","ミラージュ / 心の棘","B-D","D-K","","","","","","","","",""
"ゆばゆば極限","スキュラ (2)","26","亜種2","9","アイスランス / コールドボルト / セメタリーゲート / バインドグラスプ / 氷の刻印","クィックオーダー / コールドアシスト / フェアリークッキー / ミラージュ / 地味づくり / 心の棘 / 敏捷ブースト","A-D","C-D","D-E","D-F","D-G","D-H","D-I","D-J","D-L","",""
"ゆばゆば極限","シルバードラゴン","43","原種","11","アイスブレス / スタンピード / チャージ / ブリザード / 水流","ハートオブウィンド / 守りのミンネ / 戦いのエール","A-D","B-D","C-D","D-E","D-F","D-G","D-H","D-I","D-J","D-K","D-L"
"ゆばゆば極限","スノウ","25","亜種2","11","スノウストーム / スリートストーム / セメタリーゲート / ヒーリング / 氷の花","エンジェリックウィング / フェアリークッキー / ミラージュ / レジストフィアー / 心の棘 / 魔力ブースト","A-D","B-D","C-D","D-E","D-F","D-G","D-H","D-I","D-J","D-K","D-L"
"ゆばゆば極限","サキュバス","17","原種","8","エルフショット / サクション / テンプテイション / ヒーリング / ブラッドスティール / ロストフォーチュン","フェアリークッキー / ミラージュ / 心の棘","A-D","B-D","D-E","D-F","D-G","D-H","D-I","D-K","","",""
"ゆばゆば極限","ティンダロスハウンド","13","亜種2","3","イズルハーダ / チャージ / テラーコール / ファストストライク / フェイズアウト","フレイムアシスト / フレイムバリア","C-D","D-J","D-L","","","","","","","",""
"Piano","ナイトメア","30","原種","4","スリープクラウド / タングリング / チャージ / 挑発","エンジェリックウィング / ハートオブマーブル","A-H","B-H","D-H","F-H","","","","","","",""
"Piano","フェニックス","38","亜種1","11","ヒーリング / ファイアボルト / ワールウィンド","カウンター / ハートオブウィンド / 命中ブースト / 攻撃ブースト","A-H","B-H","C-H","D-H","E-H","F-H","G-H","H-I","H-J","H-K","H-L"
"Piano","マーチヘア","31","亜種1","11","ウィンドボルト / グリムシャドウ / ダークボルト / ヒーリング / ロッツオブラフ","エンジェリックウィング / ハートオブマーブル","A-H","B-H","C-H","D-H","E-H","F-H","G-H","H-I","H-J","H-K","H-L"
"Piano","アルルーナ","46","原種","11","エンジェルダスト / ヒーリング / ファイアボール / ラストシュリーク","エンジェリックウィング / ディレイオーダー / ハートオブマーブル","A-H","B-H","C-H","D-H","E-H","F-H","G-H","H-I","H-J","H-K","H-L"
"Piano","F.S.M.","20","原種","3","ウィンドボルト / ダークボルト / ハスタリーザ","","C-H","H-J","H-L","","","","","","","",""
"Piano","モーラ","19","亜種1","1","テラーコール / ヒーリング / ブラッドスティール / ペイルムーン / 水流","クィックオーダー","E-H","","","","","","","","","",""
"Piano","アルビノペンギン","26","亜種1","3","ダルネス / テラーコール / トライペック / ブラッドスティール / 超低周波","エンジェリックウィング / ハートオブマーブル","G-H","H-I","H-K","","","","","","","",""
"赤い酒","パズズ","42","亜種2","11","デルタスラッシュ / ドラゴニックロア / ハイドアウト / ローカストスウォーム / 光の楔","ミラージュ / 命中ブースト","A-J","B-J","C-J","D-J","E-J","F-J","G-J","H-J","I-J","J-K","J-L"
"赤い酒","ブラスドラゴン","26","亜種1","11","ドラゴンスケイル / ファイアブレス / フォグ / ペトロガス / 炎の刻印","敏捷ブースト / 防御ブースト","A-J","B-J","C-J","D-J","E-J","F-J","G-J","H-J","I-J","J-K","J-L"
"赤い酒","オールドワン","24","亜種1","11","テラーコール / デルバイス / ミラーズ / ユロール / ワインクラウド","敏捷ブースト / 魔力ブースト","A-J","B-J","C-J","D-J","E-J","F-J","G-J","H-J","I-J","J-K","J-L"
"赤い酒","ドール","28","亜種1","11","アースクェイク / イボニーシード / カロウシブスピット / ダルバドーハ / 光の楔","セントリー / リジェネレイト","A-J","B-J","C-J","D-J","E-J","F-J","G-J","H-J","I-J","J-K","J-L"
