"player","monster","level","variant","出場回数","A(アクティブ)","P(コンパニオン)","match01","match02","match03","match04","match05","match06","match07","match08","match09","match10","match11"
"酒と泪","ハイドラ","70","原種","10","クァドラストライク / ダークボルト / ラーヴァフロウ / 炎のベール / 誘い受け / 踏みつけ","エンジェリックウィング","A-G","B-G","C-G","D-G","E-G","F-G","G-I","G-J","G-K","G-L",""
"酒と泪","ダークヤング (1)","51","原種","9","イボニーシード / ガッシマ / ニグラーヌ / ファストブレード / フラッシュファイア / 光の楔","リフレクション / 防御ブースト","A-G","C-G","E-G","F-G","G-H","G-I","G-J","G-K","G-L","",""
"酒と泪","ダークヤング (2)","51","原種","2","イボニーシード / ニグラーヌ / ファストブレード / 光の楔","リフレクション / 防御ブースト","B-G","D-G","","","","","","","","",""
"酒と泪","ドール (1)","55","亜種1","11","アースクェイク / カロウシブスピット / スカラド / ダルバドーハ / 炎の刻印","リジェネレイト / リフレクション","A-G","B-G","C-G","D-G","E-G","F-G","G-H","G-I","G-J","G-K","G-L"
"酒と泪","ドール (2)","33","亜種2","1","バインドグラスプ / 炎の楔 / 熱傷","エンジェリックウィング / リジェネレイト","G-H","","","","","","","","","",""
"酒と泪","オールドワン","52","原種","11","デルバイス / トランキリティ / ミラーズ / ユロール / ラストシュリーク","リジェネレイト / 守りのミンネ","A-G","B-G","C-G","D-G","E-G","F-G","G-H","G-I","G-J","G-K","G-L"
"Vince","ジャバウォック","45","亜種2","11","ジャバー / ハードブロウ","守りのミンネ","A-D","B-D","C-D","D-E","D-F","D-G","D-H","D-I","D-J","D-K","D-L"
"Vince","スキュラ","44","原種","11","アイスランス / バインドグラスプ","","A-D","B-D","C-D","D-E","D-F","D-G","D-H","D-I","D-J","D-K","D-L"
"Vince","エアリエル","35","原種","11","テンペスト / ファイアボール","魔力ブースト","A-D","B-D","C-D","D-E","D-F","D-G","D-H","D-I","D-J","D-K","D-L"
"Vince","スノウ","28","亜種1","11","スノウストーム / スリートストーム / 氷の花","リフレクション / 敏捷ブースト","A-D","B-D","C-D","D-E","D-F","D-G","D-H","D-I","D-J","D-K","D-L"
"いも","シムルグ","46","原種","11","シードハウザー / スタンピード / ダブルアタック / チャージ / バードサンクチュアリ","ハートオブウィンド / ミラージュ / レジストペトリ / 心の壁 / 敏捷ブースト","A-J","B-J","C-J","D-J","E-J","F-J","G-J","H-J","I-J","J-K","J-L"
"いも","ペリュトン","31","亜種2","11","シャドウスティール / ダブルアタック / チャージ / 滅びの翼","ビーストクッキー / 命中ブースト / 心の壁 / 心の棘","A-J","B-J","C-J","D-J","E-J","F-J","G-J","H-J","I-J","J-K","J-L"
"いも","グレムリン","57","亜種2","11","ウィンドボルト / スノウストーム / ハイドアウト / 光の楔 / 悪魔のトリル / 風葬","ハートオブマーブル / 敏捷ブースト","A-J","B-J","C-J","D-J","E-J","F-J","G-J","H-J","I-J","J-K","J-L"
"いも","セイレン","21","亜種1","4","アウェイクニング / ヒーリング / 悪魔のトリル","フレイムアシスト / レジストシック","A-J","C-J","H-J","J-L","","","","","","",""
"いも","ペリ","20","原種","6","パイロクラズム / ファイアボルト / ファイアランス / ムーランルージュ / 狐火","フレイムアシスト / レジストシック","B-J","D-J","E-J","F-J","I-J","J-K","","","","",""
"いも","モーラ","20","亜種2","1","ブラッドスティール / リベレイション","フレイムアシスト / レジストシック","G-J","","","","","","","","","",""
"のあ","ハイドラ","28","原種","11","スウィング / ダブルアタック / チャージ / ラーヴァフロウ / 誘い受け","戦いのエール / 防御ブースト","A-K","B-K","C-K","D-K","E-K","F-K","G-K","H-K","I-K","J-K","K-L"
"のあ","ブラスドラゴン","22","原種","7","ダブルアタック / ファイアブレス / ランドスライド","心の棘 / 攻撃ブースト","A-K","B-K","C-K","E-K","G-K","I-K","K-L","","","",""
"のあ","スキュラ (1)","28","亜種1","10","アイスランス / コールドウェーブ / コールドボルト / ファイアボール","心の棘 / 魔力ブースト","A-K","B-K","C-K","E-K","F-K","G-K","H-K","I-K","J-K","K-L",""
"のあ","スキュラ (2)","25","亜種1","1","アイスランス / ファイアボール","心の棘 / 魔力ブースト","D-K","","","","","","","","","",""
"のあ","セイレン","23","原種","11","コールドボルト / ヒーリング / ファイアボルト / ファイアボール / 悪魔のトリル","レジストポイズン / 魔力ブースト","A-K","B-K","C-K","D-K","E-K","F-K","G-K","H-K","I-K","J-K","K-L"
"のあ","クン・アヌン","17","亜種1","4","クルセイド / ダークボルト / ファイアランス","心の棘 / 攻撃ブースト","D-K","F-K","H-K","J-K","","","","","","",""
"ハウスバトラー","ワイバーン (1)","25","原種","11","ベノムスティング / 超低周波","心の壁 / 攻撃ブースト","A-L","B-L","C-L","D-L","E-L","F-L","G-L","H-L","I-L","J-L","K-L"
"ハウスバトラー","ワイバーン (2)","44","亜種1","11","スパイクテイル / チャージ / ハードブロウ / ベノムスティング","HPブースト / 敏捷ブースト / 防寒布","A-L","B-L","C-L","D-L","E-L","F-L","G-L","H-L","I-L","J-L","K-L"
"ハウスバトラー","アルルーナ","22","原種","11","ウィンドボルト / エンジェルダスト / グリムシャドウ / コールドボルト / 水流","魔力ブースト","A-L","B-L","C-L","D-L","E-L","F-L","G-L","H-L","I-L","J-L","K-L"
"ハウスバトラー","サキュバス","24","原種","11","エルフショット / コールドボルト / テンプテイション","レジストシール / 魔力ブースト","A-L","B-L","C-L","D-L","E-L","F-L","G-L","H-L","I-L","J-L","K-L"
