"player","monster","level","variant","出場回数","A(アクティブ)","P(コンパニオン)","match01","match02","match03","match04","match05","match06","match07","match08","match09","match10","match11"
"Piano","フェニックス","36","亜種1","3","ヒーリング / ファイアボルト / ワールウィンド","","A-J","C-J","J-L","","","","","","","",""
"Piano","ナイトメア","26","原種","10","スリープクラウド / タングリング / チャージ / 挑発","ビーストクッキー / 守りのミンネ / 攻撃ブースト","A-J","B-J","C-J","D-J","F-J","G-J","H-J","I-J","J-K","J-L",""
"Piano","モーラ","14","亜種1","2","テラーコール / ヒーリング / ブラッドスティール / ペイルムーン / 水流","エンジェリックウィング / リジェネレイト / 心の壁","A-J","C-J","","","","","","","","",""
"Piano","アルルーナ","44","原種","10","エンジェルダスト / ヒーリング / ラストシュリーク","レジストシック / レジストチャーム / レジストフィアー / 予習復習 / 防御ブースト","A-J","B-J","C-J","D-J","E-J","F-J","G-J","H-J","J-K","J-L",""
"Piano","アルビノペンギン","25","亜種1","1","ダルネス / テラーコール / トライペック / ブラッドスティール","アウタークッキー","B-J","","","","","","","","","",""
"Piano","マーチヘア","26","亜種1","5","ウィンドボルト / グリムシャドウ / ダークボルト / ロッツオブラフ","エンジェリックウィング / ハートオブフレイム / ハートオブマーブル / レジストチャーム / 魔力ブースト","B-J","D-J","E-J","G-J","I-J","","","","","",""
"Piano","フェニックスB","35","亜種1","1","ヒーリング / ファイアボルト / ワールウィンド","ハートオブマーブル / ミラージュ","D-J","","","","","","","","","",""
"Piano","ナイトメアB","23","原種","1","スリープクラウド / タングリング / チャージ / 挑発","守りのミンネ / 攻撃ブースト","E-J","","","","","","","","","",""
"Piano","ティンダロスハウンド","12","原種","6","フェイズアウト / 狐火","アウタークッキー / レジストシック / レジストフィアー / 予習復習","E-J","F-J","G-J","H-J","I-J","J-K","","","","",""
"Piano","F.S.M.","14","原種","2","ウィンドボルト / ハスタリーザ","リジェネレイト / 心の壁","F-J","H-J","","","","","","","","",""
"Piano","アルルーナB","44","原種","1","エンジェルダスト / ヒーリング / ラストシュリーク","レジストフィアー / 予習復習","I-J","","","","","","","","","",""
"Piano","スノウ","14","原種","1","コールドボルト / スノウストーム","エンジェリックウィング","J-K","","","","","","","","","",""
"Piano","モーラA","14","亜種1","1","テラーコール / ヒーリング / ブラッドスティール / ペイルムーン / 水流","リジェネレイト / 心の壁","J-L","","","","","","","","","",""
"ひーちゃん","グリフィン","14","亜種1","5","チャージ","防御ブースト","A-E","B-E","C-E","E-G","E-K","","","","","",""
"ひーちゃん","シルバードラゴン","14","原種","10","アイスブレス / ブリザード","防御ブースト","A-E","B-E","C-E","D-E","E-F","E-G","E-H","E-J","E-K","E-L",""
