"player","monster","level","variant","出場回数","A(アクティブ)","P(コンパニオン)","match01","match02","match03","match04","match05","match06","match07","match08","match09","match10","match11"
"タカヤマン","ケット・シー／１号","60","亜種2","3","テンペスト / ヒヤデスウィンド / フェアリーエイド / ペイルムーン / 光のベール","ハートオブウィンド","A-G","B-G","G-J","","","","","","","",""
"タカヤマン","ケット・シー／２号","70","亜種2","3","アゼランザ / エンジェルダスト / トランキリティ / フェイズアウト / ルルハラント","ミラージュ / リジェネレイト","A-G","B-G","G-J","","","","","","","",""
"タカヤマン","スノウ／白","69","亜種2","4","ヒヤデスウィンド / フサリア / フラッシュファイア / リヴァイヴ / 炎の刻印","ハートオブフレイム / ミラージュ","A-G","B-G","F-G","G-J","","","","","","",""
"タカヤマン","サキュバス／１","48","原種","3","アウェイクニング / エンジェルダスト / スタンダールシンドローム / ペイルムーン / 悪魔のトリル","リジェネレイト / 守りのミンネ","A-G","B-G","F-G","","","","","","","",""
"タカヤマン","ドール／壱","54","原種","6","アウターキラー / アースクェイク / スキュアー / スタンピード / チャージ","アウタークッキー / ハートオブオーシャン / ミラージュ / リジェネレイト / 守りのミンネ / 戦いのエール","C-G","D-G","E-G","G-H","G-I","G-L","","","","",""
"タカヤマン","アトラク×ナクア","28","亜種1","1","ディスペル / ブラッドセイバー / 光のベール","アウタークッキー","C-G","","","","","","","","","",""
"タカヤマン","F.S.M.～②","46","亜種2","5","テンペスト / フォトケミカルスモッグ / ミラーズ / ユロール / 光の楔","アウタークッキー / ハートオブフレイム","C-G","D-G","E-G","G-H","G-L","","","","","",""
"タカヤマン","スターヴァンパイア☆☆","47","原種","2","アンブッシュ / ミラーズ / 光のベール / 光の楔","アウタークッキー / ハートオブフレイム / ミラージュ","C-G","G-L","","","","","","","","",""
"タカヤマン","ティンダロスハウンド@","47","亜種1","3","スキュアー / フェイズアウト / ルルハラント / 光のベール / 光の楔","リジェネレイト / 守りのミンネ / 戦いのエール","D-G","E-G","G-H","","","","","","","",""
"タカヤマン","スターヴァンパイア☆","47","原種","4","ミラーズ / ユロール / 光のベール / 光の楔 / 風葬","ハートオブフレイム / ミラージュ","D-G","E-G","G-H","G-I","","","","","","",""
"タカヤマン","スノウ／紺","38","亜種1","1","アイギスシールド / フサリア / ペイルムーン / 光のベール","リジェネレイト / 守りのミンネ","F-G","","","","","","","","","",""
"タカヤマン","スノウ／藍","52","亜種1","1","テンペスト / ヒヤデスウィンド / フェアリーエイド / フサリア","ミラージュ / リジェネレイト","F-G","","","","","","","","","",""
"タカヤマン","ドール／弐","43","原種","1","ミラーズ / ユロール / 光のベール","守りのミンネ / 戦いのエール","G-I","","","","","","","","","",""
"タカヤマン","F.S.M.～１","57","原種","1","アゼランザ / フォトケミカルスモッグ / 光のベール / 光の楔","リジェネレイト / 守りのミンネ","G-I","","","","","","","","","",""
"タカヤマン","サキュバス１","47","原種","1","アウェイクニング / エンジェルダスト / スタンダールシンドローム / ペイルムーン / 悪魔のトリル","リジェネレイト / 守りのミンネ","G-J","","","","","","","","","",""
"タカヤマン","ブラスドラゴン／赤燐","67","亜種2","1","スキュアー / スタンピード / スパイクテイル / チャージ / 光の刻印","守りのミンネ / 戦いのエール","G-K","","","","","","","","","",""
"タカヤマン","ハイドラ！","70","亜種2","1","アウターキラー / アースクェイク / グランドスラム / スキュアー","守りのミンネ / 戦いのエール","G-K","","","","","","","","","",""
"タカヤマン","クン・アヌン／ロア","51","亜種2","1","カラカス / ドラゴニックロア / 光のベール / 光の楔","リジェネレイト / 守りのミンネ","G-K","","","","","","","","","",""
"タカヤマン","ウルタールの猫／トラ","29","亜種2","1","フライト / リヴァイヴ / 光のベール / 光の楔 / 月光浴","守りのミンネ / 心の棘","G-K","","","","","","","","","",""
"タカヤマン","ダークヤング／タマ","32","亜種2","1","光のベール","ハートオブオーシャン / リジェネレイト","G-L","","","","","","","","","",""
"カリスト","地を喰らうスピキ","68","亜種1","10","カロウシブスピット / スキュアー / スタンピード / トライペック / ブラッドセイバー","ハートオブオーシャン / リジェネレイト / レジストポイズン / 守りのミンネ / 戦いのエール","A-K","B-K","C-K","D-K","E-K","G-K","H-K","I-K","J-K","K-L",""
"カリスト","復活の淫夢くんUC","64","亜種2","4","カラカス / チャージ / フォトケミカルスモッグ / ルルハラント / 光のベール","クィックオーダー / ボディケア / レジストポイズン / 守りのミンネ / 戦いのエール","A-K","D-K","H-K","J-K","","","","","","",""
"カリスト","星のスピキ擬態型","63","亜種2","11","アンブッシュ / カラカス / フォトケミカルスモッグ / ミラーズ / 光のベール","クィックオーダー / ボディケア / リジェネレイト / 守りのミンネ / 戦いのエール","A-K","B-K","C-K","D-K","E-K","F-K","G-K","H-K","I-K","J-K","K-L"
"カリスト","比良坂初音","63","亜種2","10","エルフショット / ミラーズ / ユロール / 光のベール / 光の楔","クィックオーダー / ハートオブフレイム / リジェネレイト / レジストバインド / 守りのミンネ / 心の棘","A-K","B-K","C-K","D-K","E-K","G-K","H-K","I-K","J-K","K-L",""
"カリスト","畝の後ろの後ろを歩くモノ","65","原種","6","ガッシマ / スキュアー / スタンピード / トライペック / トランキリティ","セントリー / リジェネレイト / レジストポイズン / 守りのミンネ / 戦いのエール","B-K","C-K","E-K","G-K","I-K","K-L","","","","",""
"カリスト","シムルグ","39","亜種1","1","アウターキラー / スタンピード / ドラゴニックロア / バードサンクチュアリ","ハートオブオーシャン / リジェネレイト","F-K","","","","","","","","","",""
"カリスト","Hydra","58","亜種1","1","アースクェイク / ウォークライ / スタンピード / チャージ","エンジェリックウィング / 戦いのエール","F-K","","","","","","","","","",""
"カリスト","【ウルタールの猫】","30","原種","1","フライト / リヴァイヴ / 光の楔 / 月光浴","クィックオーダー / ボディケア","F-K","","","","","","","","","",""
"イマクロ","ドール","42","原種","1","光の刻印 / 踏みつけ","守りのミンネ / 戦いのエール","A-B","","","","","","","","","",""
