"player","monster","level","variant","出場回数","A(アクティブ)","P(コンパニオン)","match01","match02","match03","match04","match05","match06","match07","match08","match09","match10","match11"
"ClayClay","誰そ彼","33","亜種1","3","カラカス / ダブルアタック / トライペック / ベノムスクラッチ / 光のベール","リジェネレイト / 守りのミンネ / 心の棘 / 戦いのエール","A-F","C-F","F-J","","","","","","","",""
"ClayClay","熱峰分","30","亜種2","2","シャドウレイド / ダブルアタック / チャージ / デルタスラッシュ / バインドグラスプ","セントリー / リジェネレイト / 守りのミンネ / 戦いのエール","A-F","F-H","","","","","","","","",""
"ClayClay","シルバードラゴン","34","原種","5","カラカス / テンペスト / バーニングレイジ / 光のベール / 火葬","クィックオーダー / リジェネレイト / リフレクション / 命中ブースト / 悪目立ち / 戦いのエール / 敏捷ブースト","A-F","E-F","F-G","F-H","F-L","","","","","",""
"ClayClay","ハルテ","57","原種","7","アゼランザ / パンデミック / ヒヤデスウィンド / ファイアランス / 炎の刻印","クィックオーダー / リジェネレイト / 敏捷ブースト","A-F","B-F","C-F","D-F","F-I","F-J","F-K","","","",""
"ClayClay","コア","35","原種","1","デルバイス / 闇の刻印","ミラージュ / 心の棘","B-F","","","","","","","","","",""
"ClayClay","デルバイス","32","原種","1","闇の刻印","ハートオブフレイム / ミラージュ","B-F","","","","","","","","","",""
"ClayClay","イシュ","38","原種","6","アイスランス / ステイシス / ストームワーニング / スリートストーム / テンペスト","クィックオーダー / ミラージュ / 命中ブースト / 悪目立ち / 戦いのエール","B-F","C-F","D-F","F-I","F-J","F-K","","","","",""
"ClayClay","パティ","41","原種","3","エルフショット / ダイブ / ペイルムーン / リベレイション / ロッツオブラフ","クィックオーダー / 守りのミンネ / 心の壁 / 戦いのエール","C-F","D-F","F-J","","","","","","","",""
"ClayClay","アークディスプレイサー","44","原種","3","ジャバー / スリープクラウド / ヒカップ / ホロウワールド / リヴァイヴ","クィックオーダー / 守りのミンネ / 心の壁","D-F","F-I","F-K","","","","","","","",""
"ClayClay","ハルドル","34","原種","1","アースクェイク / ランドスライド","守りのミンネ / 戦いのエール","E-F","","","","","","","","","",""
"ClayClay","アス","40","原種","3","アースクェイク / カロウシブスピット / シードハウザー / ダルバドーハ / ラーヴァフロウ","ハートオブオーシャン / リフレクション / 守りのミンネ / 戦いのエール","E-F","F-G","F-H","","","","","","","",""
"ClayClay","夜庵","28","亜種1","3","カラカス / ディスペル / フライト / 光の楔 / 月光浴","エンジェリックウィング / カウンター / 守りのミンネ / 戦いのエール","E-F","F-H","F-L","","","","","","","",""
"ClayClay","セント","31","原種","2","アースクェイク / カロウシブスピット / ダイブ / ラーヴァフロウ / 炎の楔","ハートオブウィンド / リフレクション / 守りのミンネ / 心の壁","F-G","F-L","","","","","","","","",""
"ClayClay","スピル","32","原種","1","アイスランス / スリートストーム / フラッド / ルルハラント","エンジェリックウィング / コールドアシスト","F-G","","","","","","","","","",""
"ClayClay","ブラスドラゴン","34","原種","3","スタンピード / チャージ / ヒカップ / ランドスライド","レジストバインド / レジストフィアー / 守りのミンネ / 戦いのエール","F-I","F-K","F-L","","","","","","","",""
"タカヤマン","パズズ／赤目","49","亜種2","3","ダブルアタック / デルタスラッシュ / ドラゴニックロア / バインドグラスプ","リジェネレイト / 守りのミンネ","A-D","C-D","D-K","","","","","","","",""
"タカヤマン","シルドラ壱型","51","原種","3","アースクェイク / デスサイズ / ビーストキラー / ベノムスティング / 光の刻印","ハートオブオーシャン / ミラージュ / リジェネレイト","A-D","C-D","D-K","","","","","","","",""
"タカヤマン","カシャ／黒","52","亜種1","3","ヒーリング / ペイルムーン / 光のベール / 光の楔 / 風葬","エンジェリックウィング / リジェネレイト","A-D","C-D","D-K","","","","","","","",""
"タカヤマン","クン・アヌン／白","45","亜種2","2","クルセイド / 光のベール / 光の楔 / 風葬","ハートオブフレイム / ミラージュ","A-D","C-D","","","","","","","","",""
"タカヤマン","ドール／壱","52","原種","2","アウターキラー / アースクェイク / スキュアー / スタンピード / チャージ","ハートオブオーシャン / リジェネレイト / 守りのミンネ / 戦いのエール","B-D","D-G","","","","","","","","",""
"タカヤマン","アトラク＝ナクア","24","亜種1","1","ゴッサマーチェイン / ディスペル / ブラッドセイバー / ルールオブドリームス / 光のベール","守りのミンネ / 心の棘","B-D","","","","","","","","","",""
"タカヤマン","F.S.M.～②","44","亜種2","2","テンペスト / ミラーズ / ユロール / 光の楔","ハートオブフレイム / リジェネレイト / 守りのミンネ","B-D","D-G","","","","","","","","",""
"タカヤマン","スターヴァンパイア☆☆","45","原種","1","アンブッシュ / ミラーズ / ユロール / 光のベール / 光の楔","ハートオブフレイム / ミラージュ","B-D","","","","","","","","","",""
"タカヤマン","ケット・シー／１号","58","亜種2","6","テンペスト / ヒヤデスウィンド / フェアリーエイド / ペイルムーン / 光のベール","ハートオブウィンド / ハートオブフレイム / フェアリークッキー / ミラージュ / レジストバインド / レジストペトリ","D-E","D-F","D-H","D-I","D-J","D-L","","","","",""
"タカヤマン","ケット・シー／２号","70","亜種2","3","アゼランザ / エンジェルダスト / トランキリティ / フェイズアウト / ルルハラント","クィックオーダー / フェアリークッキー / リジェネレイト / 守りのミンネ","D-E","D-F","D-L","","","","","","","",""
"タカヤマン","スノウ／白","67","亜種2","6","ヒヤデスウィンド / フサリア / フラッシュファイア / リヴァイヴ / 炎の刻印","ハートオブフレイム / ハートオブマーブル / フェアリークッキー / ミラージュ / リジェネレイト","D-E","D-F","D-H","D-I","D-J","D-L","","","","",""
"タカヤマン","サキュバス１","47","原種","6","アウェイクニング / エンジェルダスト / スタンダールシンドローム / ペイルムーン / 悪魔のトリル","ハートオブフレイム / ハートオブマーブル / フェアリークッキー / ミラージュ / リジェネレイト","D-E","D-F","D-H","D-I","D-J","D-L","","","","",""
"タカヤマン","ティンダロスハウンド@","45","亜種1","1","スキュアー / フェイズアウト / ルルハラント / 光のベール / 光の楔","ハートオブフレイム / リフレクション","D-G","","","","","","","","","",""
"タカヤマン","スターヴァンパイア☆","47","原種","1","ミラーズ / ユロール / 光のベール / 光の楔 / 風葬","ハートオブフレイム / ミラージュ","D-G","","","","","","","","","",""
"タカヤマン","ペリ／冷","56","亜種2","3","アイスランス / スノウストーム / ペイルムーン / 氷の刻印 / 氷の花","フェアリークッキー / リジェネレイト / 守りのミンネ","D-H","D-I","D-J","","","","","","","",""
