"player","monster","level","variant","出場回数","A(アクティブ)","P(コンパニオン)","match01","match02","match03","match04","match05","match06","match07","match08","match09","match10","match11"
"なまはる","フラーユ","27","原種","11","セメタリーゲート / ヒヤデスウィンド / フォグ / リヴァイヴ / 狐火","","A-H","B-H","C-H","D-H","E-H","F-H","G-H","H-I","H-J","H-K","H-L"
"なまはる","エアリエル","31","原種","11","セメタリーゲート / テンペスト / ファストブレード / ペイルムーン / リヴァイヴ","守りのミンネ / 戦いのエール","A-H","B-H","C-H","D-H","E-H","F-H","G-H","H-I","H-J","H-K","H-L"
"なまはる","セイレン","42","亜種2","11","アウェイクニング / ヒーリング / ペイルムーン / ポイズンクラウド / 狐火","クィックオーダー","A-H","B-H","C-H","D-H","E-H","F-H","G-H","H-I","H-J","H-K","H-L"
"なまはる","サキュバス","35","亜種1","11","スタンダールシンドローム / スノウストーム / テンプテイション / フォグ / リヴァイヴ","コールドアシスト / 予習復習","A-H","B-H","C-H","D-H","E-H","F-H","G-H","H-I","H-J","H-K","H-L"
"赤い酒","パズズ","43","亜種2","11","デルタスラッシュ / ドラゴニックロア / ハイドアウト / ローカストスウォーム / 光の楔","ミラージュ / 命中ブースト","A-E","B-E","C-E","D-E","E-F","E-G","E-H","E-I","E-J","E-K","E-L"
"赤い酒","ブラスドラゴン","28","亜種1","11","ドラゴンスケイル / ファイアブレス / フォグ / ペトロガス / 光の楔 / 炎の刻印","エンジェリックウィング / ハートオブマーブル / 敏捷ブースト / 防御ブースト","A-E","B-E","C-E","D-E","E-F","E-G","E-H","E-I","E-J","E-K","E-L"
"赤い酒","ペリ","23","原種","11","パイロクラズム / ブラッドスティール / ペイルムーン / ムーランルージュ","ミラージュ / リジェネレイト / 敏捷ブースト / 魔力ブースト","A-E","B-E","C-E","D-E","E-F","E-G","E-H","E-I","E-J","E-K","E-L"
"赤い酒","ドール","30","亜種1","11","アースクェイク / イボニーシード / カロウシブスピット / ダルバドーハ / 光の楔","セントリー / リジェネレイト / リフレクション / 魔力ブースト","A-E","B-E","C-E","D-E","E-F","E-G","E-H","E-I","E-J","E-K","E-L"
"Vince","ジャバウォック","50","亜種2","11","ウォークライ / ジャバー / ハードブロウ","レジストチャーム / 守りのミンネ / 敏捷ブースト","A-J","B-J","C-J","D-J","E-J","F-J","G-J","H-J","I-J","J-K","J-L"
"Vince","スキュラ","49","原種","7","アイスランス / コールドボルト / バインドグラスプ / 水流","魔力ブースト","A-J","B-J","C-J","D-J","F-J","J-K","J-L","","","",""
