"player","monster","level","variant","出場回数","A(アクティブ)","P(コンパニオン)","match01","match02","match03","match04","match05","match06","match07","match08","match09","match10","match11"
"ユウア","ドール (1)","33","原種","5","アースクェイク / スタンピード / チャージ / ハードブロウ","エンジェリックウィング / 戦いのエール","A-F","B-F","C-F","F-H","F-K","","","","","",""
"ユウア","ドール (2)","32","原種","5","アースクェイク / スタンピード / チャージ / ハードブロウ","エンジェリックウィング","A-F","B-F","C-F","F-H","F-K","","","","","",""
"ユウア","アークディスプレイサー","53","原種","7","アンブッシュ / ソリッドファントム / ホロウワールド / 光のベール / 光の楔","エンジェリックウィング / クィックオーダー / ハートオブオーシャン","A-F","B-F","C-F","D-F","F-H","F-I","F-K","","","",""
"ユウア","オールドワン","44","原種","7","ヒーリング / ミラーズ / ユロール / 悪魔のトリル","エンジェリックウィング / ミラージュ","A-F","B-F","C-F","D-F","F-H","F-I","F-K","","","",""
"ユウア","ダークヤング (1)","37","原種","5","ガッシマ / スタンピード / チャージ / ハードブロウ","エンジェリックウィング / 守りのミンネ / 戦いのエール","D-F","F-G","F-I","F-J","F-L","","","","","",""
"ユウア","ダークヤング (2)","32","原種","1","ガッシマ / スタンピード / チャージ","守りのミンネ / 戦いのエール","D-F","","","","","","","","","",""
"ユウア","ブラスドラゴン (1)","37","亜種1","1","チャージ / ドラゴンスケイル","守りのミンネ / 戦いのエール","E-F","","","","","","","","","",""
"ユウア","ブラスドラゴン (2)","30","亜種1","1","ドラゴンスケイル","守りのミンネ / 戦いのエール","E-F","","","","","","","","","",""
"ユウア","エアリエル","48","原種","4","セメタリーゲート / テンペスト / フェアリーエイド","敏捷ブースト / 魔力ブースト","E-F","F-G","F-J","F-L","","","","","","",""
"ユウア","サキュバス","38","原種","1","アウェイクニング / セメタリーゲート","ハートオブフレイム / 魔力ブースト","E-F","","","","","","","","","",""
"ユウア","ルサルカ","49","亜種2","3","ウィンターブラスト / スリープクラウド / フラッド","ハートオブフレイム / 魔力ブースト","F-G","F-J","F-L","","","","","","","",""
"pmg","ガッシムブラック","44","原種","11","くすぐり / まさぐり / ガッシマ / チャージ / ペトロガス","命中ブースト / 守りのミンネ / 戦いのエール","A-C","B-C","C-D","C-E","C-F","C-G","C-H","C-I","C-J","C-K","C-L"
"pmg","ガッシムホワイト","40","原種","11","ガッシマ / スタンピード / チャージ / バインドグラスプ / ペトロガス","カウンター / リジェネレイト / 守りのミンネ / 戦いのエール","A-C","B-C","C-D","C-E","C-F","C-G","C-H","C-I","C-J","C-K","C-L"
"pmg","エボニールミナス","35","原種","11","テラーコール / ルビーライト / 光のベール","アウタークッキー","A-C","B-C","C-D","C-E","C-F","C-G","C-H","C-I","C-J","C-K","C-L"
"pmg","オールドワンップル","30","原種","11","ウィンドボルト / テンプテイション / ミラーズ","アウタークッキー","A-C","B-C","C-D","C-E","C-F","C-G","C-H","C-I","C-J","C-K","C-L"
"覚者ロイ","ハイドラ","30","亜種2","11","くすぐり / クァドラストライク / チャージ / ハードブロウ / ラーヴァフロウ","レジストペトリ / 命中ブースト / 攻撃ブースト","A-J","B-J","C-J","D-J","E-J","F-J","G-J","H-J","I-J","J-K","J-L"
"覚者ロイ","パズズ","33","原種","5","ダブルアタック / チャージ / デルタスラッシュ","レジストチャーム","A-J","C-J","F-J","H-J","J-L","","","","","",""
"覚者ロイ","グレムリン","24","原種","9","エルフショット / ヒーリング / 風葬","HPブースト","A-J","B-J","C-J","D-J","E-J","F-J","H-J","J-K","J-L","",""
"覚者ロイ","クン・アヌン","29","亜種2","11","エルフショット / バーニングレイジ / ファイアボール / ファイアランス / リヴァイヴ","クィックオーダー / ハートオブウィンド / レジストペトリ / 攻撃ブースト","A-J","B-J","C-J","D-J","E-J","F-J","G-J","H-J","I-J","J-K","J-L"
