player,letter,出場回数,monster,level,variant,image,A(アクティブ),P(コンパニオン),url01,url02,url03,url04,url05,url06,url07,url08,url09,url10,url11
♡やわもち♡,G,11,ハイドラ,40,原,https://eldersign.jp/img/mi/g/f0/048_hydra_0g4.png,クァドラストライク / チャージ / ハードブロウ / ランドスライド / ラーヴァフロウ,レジストポイズン / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=6&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=38&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=70&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=102&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=134&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=166&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=199&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=200&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=201&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=202&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=203&se=13&t=1
♡やわもち♡,G,11,ダークヤング,33,原,https://eldersign.jp/img/mi/g/f0/055_dark-young_0g4.png,イボニーシード / ガッシマ / チャージ / ニグラーヌ / ペトロガス,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=6&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=38&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=70&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=102&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=134&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=166&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=199&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=200&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=201&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=202&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=203&se=13&t=1
♡やわもち♡,G,11,ショゴス,49,亜1,https://eldersign.jp/img/mi/g/f0/034_shoggoth_1g4.png,エルフショット / テラーコール / ヒーリング / 光の楔 / 闇の刻印,守りのミンネ / 心の棘,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=6&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=38&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=70&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=102&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=134&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=166&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=199&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=200&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=201&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=202&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=203&se=13&t=1
♡やわもち♡,G,2,エアリエル,29,原,https://eldersign.jp/img/mi/g/f0/039_ariel_0g4.png,アイスボール / ストームワーニング / ダークボルト / テンペスト / ファイアボール,守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=6&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=134&se=13&t=1,,,,,,,,,
♡やわもち♡,G,5,わんわんお（∪＾ω＾）,48,原,https://eldersign.jp/img/mi/s/f0/026_cwn-annwn_0g7.png,アイスボール / クルセイド / バーニングレイジ / ファイアボール / ファイアランス,フレイムアシスト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=38&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=102&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=166&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=200&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=202&se=13&t=1,,,,,,
♡やわもち♡,G,4,アルルーナ,36,原,https://eldersign.jp/img/mi/g/f0/040_alrunes_0g4.png,エンジェルダスト / ヒーリング / ファイアボール / ラストシュリーク / 水流,守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=70&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=199&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=201&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=203&se=13&t=1,,,,,,,
つくよみ,I,10,ティンダロスハウンド,41,原,https://eldersign.jp/img/mi/g/f0/054_hounds-of-tindalos_0g4.png,イズルハーダ / ダブルアタック / チャージ / フェイズアウト / ルルハラント,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=8&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=40&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=72&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=104&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=136&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=200&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=232&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=265&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=266&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=267&se=13&t=1,
つくよみ,I,10,ワンプ,47,亜2,https://eldersign.jp/img/mi/g/f0/033_wamp_2g4.png,クリアランス / ステンチ / セメタリーゲート / ダブルアタック / ベノムスクラッチ,ハートオブオーシャン / リフレクション,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=8&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=40&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=72&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=104&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=136&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=200&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=232&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=265&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=266&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=267&se=13&t=1,
つくよみ,I,10,スターヴァンパイア,41,原,https://eldersign.jp/img/mi/g/f0/052_star-vampire_0g1.png,アンガドーリエラ / グリムシャドウ / セメタリーゲート / ダークボルト / ヒーリング,防御ブースト / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=8&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=40&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=72&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=104&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=136&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=200&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=232&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=265&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=266&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=267&se=13&t=1,
つくよみ,I,10,オールドワン,26,原,https://eldersign.jp/img/mi/g/f0/051_old-one_0g4.png,セメタリーゲート / ヒーリング / ファイアボール / ミラーズ / ユロール,クィックオーダー / 命中ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=8&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=40&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=72&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=104&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=136&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=200&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=232&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=265&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=266&se=13&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=7&v=267&se=13&t=1,
